Country,Year,Measure_group,OBS_VALUE_use
Bulgaria,2015,Services,44.61
Bulgaria,2016,Agriculture,4.57
Bulgaria,2016,Domestic/Public Use,651.1
Bulgaria,2016,Energy Production,1.05
Bulgaria,2016,Industry,158.77
Bulgaria,2016,Services,43.68
Bulgaria,2017,Agriculture,2.98
Bulgaria,2017,Domestic/Public Use,653.96
Bulgaria,2017,Energy Production,2.19
Bulgaria,2017,Industry,158.27
Bulgaria,2017,Services,50.22
Bulgaria,2018,Agriculture,2.53
Bulgaria,2018,Domestic/Public Use,639.0999999999999
Bulgaria,2018,Energy Production,2.12
Bulgaria,2018,Industry,145.66
Bulgaria,2018,Services,50.49
Bulgaria,2019,Agriculture,3.74
Bulgaria,2019,Domestic/Public Use,631.04
Bulgaria,2019,Energy Production,1.98
Bulgaria,2019,Industry,142.59
Bulgaria,2019,Services,46.2
Bulgaria,2020,Agriculture,3.623
Bulgaria,2020,Domestic/Public Use,623.318
Bulgaria,2020,Energy Production,1.905
Bulgaria,2020,Industry,123.217
Bulgaria,2020,Services,36.122
Bulgaria,2021,Agriculture,3.249
Bulgaria,2021,Domestic/Public Use,622.636
Bulgaria,2021,Energy Production,1.386
Bulgaria,2021,Industry,122.231
Bulgaria,2021,Services,38.969
Croatia,1995,Agriculture,130.0
Croatia,1995,Domestic/Public Use,668.0
Croatia,1995,Industry,158.0
Croatia,1995,Services,28.0
Croatia,1996,Agriculture,151.0
Croatia,1996,Domestic/Public Use,709.0
Croatia,1996,Industry,162.0
Croatia,1996,Services,28.0
Croatia,1997,Agriculture,159.0
Croatia,1997,Domestic/Public Use,714.0
Croatia,1997,Industry,159.0
Croatia,1997,Services,30.0
Croatia,1998,Agriculture,171.0
Croatia,1998,Domestic/Public Use,717.0
Croatia,1998,Industry,139.0
Croatia,1998,Services,27.0
Croatia,1999,Agriculture,200.0
Croatia,1999,Domestic/Public Use,698.0
Croatia,1999,Industry,122.0
Croatia,1999,Services,26.0
Croatia,2000,Agriculture,2.0
Croatia,2000,Domestic/Public Use,474.764
Croatia,2000,Energy Production,0.35
Croatia,2000,Industry,85.9519992
Croatia,2000,Services,69.168
Croatia,2001,Agriculture,2.0
Croatia,2001,Domestic/Public Use,489.543
Croatia,2001,Energy Production,0.35
Croatia,2001,Industry,84.461
Croatia,2001,Services,68.085
Croatia,2002,Agriculture,2.0
Croatia,2002,Domestic/Public Use,457.355
Croatia,2002,Energy Production,0.35
Croatia,2002,Industry,85.156
Croatia,2002,Services,61.352
Croatia,2003,Agriculture,2.0
Croatia,2003,Domestic/Public Use,478.62800000000004
Croatia,2003,Energy Production,0.35
Croatia,2003,Industry,86.776
Croatia,2003,Services,63.031
Croatia,2004,Agriculture,2.0
Croatia,2004,Domestic/Public Use,460.37
Croatia,2004,Energy Production,0.35
Croatia,2004,Industry,87.626
Croatia,2004,Services,55.919
Croatia,2005,Agriculture,2.0
Croatia,2005,Domestic/Public Use,452.178
Croatia,2005,Energy Production,0.35
Croatia,2005,Industry,85.84
Croatia,2005,Services,50.947
Croatia,2006,Agriculture,2.0
Croatia,2006,Domestic/Public Use,452.501
Croatia,2006,Energy Production,0.35
Croatia,2006,Industry,84.488
Croatia,2006,Services,49.881
Croatia,2007,Agriculture,2.0
Croatia,2007,Domestic/Public Use,457.97799999999995
Croatia,2007,Energy Production,0.342
Croatia,2007,Industry,75.102
Croatia,2007,Services,47.925
Croatia,2008,Agriculture,2.0
Croatia,2008,Domestic/Public Use,474.359
Croatia,2008,Energy Production,0.378
Croatia,2008,Industry,86.61800000000001
Croatia,2008,Services,68.296
Croatia,2009,Agriculture,2.0
Croatia,2009,Domestic/Public Use,486.327
Croatia,2009,Energy Production,0.368
Croatia,2009,Industry,106.68299999999999
Croatia,2009,Services,70.091
Croatia,2010,Agriculture,2.0
Croatia,2010,Domestic/Public Use,497.57099999999997
Croatia,2010,Energy Production,0.267
Croatia,2010,Industry,107.551
Croatia,2010,Services,69.123
Croatia,2011,Agriculture,2.0
Croatia,2011,Domestic/Public Use,473.054
Croatia,2011,Energy Production,0.271
Croatia,2011,Industry,86.177
Croatia,2011,Services,68.503
Croatia,2012,Agriculture,2.0
Croatia,2012,Domestic/Public Use,466.79999999999995
Croatia,2012,Energy Production,0.273
Croatia,2012,Industry,69.012
Croatia,2012,Services,66.937
Croatia,2013,Agriculture,2.0
Croatia,2013,Domestic/Public Use,472.64300000000003
Croatia,2013,Energy Production,0.198
Croatia,2013,Industry,57.709
Croatia,2013,Services,58.503
Croatia,2014,Agriculture,2.0
Croatia,2014,Domestic/Public Use,424.099
Croatia,2014,Energy Production,0.189
Croatia,2014,Industry,60.273
Croatia,2014,Services,52.797
Croatia,2015,Agriculture,2.0
Croatia,2015,Domestic/Public Use,450.28700000000003
Croatia,2015,Energy Production,0.189
Croatia,2015,Industry,67.81099999999999
Croatia,2015,Services,60.613
Croatia,2016,Agriculture,2.0
Croatia,2016,Domestic/Public Use,425.63300000000004
Croatia,2016,Energy Production,0.18
Croatia,2016,Industry,55.989
Croatia,2016,Services,52.323
Croatia,2017,Agriculture,2.0
Croatia,2017,Domestic/Public Use,406.631
Croatia,2017,Energy Production,0.186
Croatia,2017,Industry,55.199999999999996
Croatia,2017,Services,41.554
Croatia,2018,Agriculture,2.0
Croatia,2018,Domestic/Public Use,411.384
Croatia,2018,Energy Production,0.114
Croatia,2018,Industry,59.68
Croatia,2018,Services,43.058
Croatia,2019,Agriculture,2.0
Croatia,2019,Domestic/Public Use,411.40200000000004
Croatia,2019,Energy Production,0.13
Croatia,2019,Industry,59.783
Croatia,2019,Services,43.136
Croatia,2020,Agriculture,2.0
Croatia,2020,Domestic/Public Use,408.307
Croatia,2020,Energy Production,0.088
Croatia,2020,Industry,55.513999999999996
Croatia,2020,Services,42.151
Croatia,2021,Agriculture,2.0
Croatia,2021,Domestic/Public Use,409.606
Croatia,2021,Energy Production,0.08
Croatia,2021,Industry,54.312000000000005
Croatia,2021,Services,43.834
Croatia,2022,Agriculture,2.0
Croatia,2022,Domestic/Public Use,419.35
Croatia,2022,Energy Production,0.08
Croatia,2022,Industry,56.72
Croatia,2022,Services,44.0
Denmark,1985,Domestic/Public Use,965.7
Denmark,1985,Industry,129.6
Denmark,1985,Services,52.8
Denmark,1989,Domestic/Public Use,947.8
Denmark,1990,Domestic/Public Use,912.6
Denmark,1990,Industry,103.0
Denmark,1990,Services,51.2
Denmark,1991,Domestic/Public Use,881.2
Denmark,1992,Domestic/Public Use,859.6
Denmark,1993,Domestic/Public Use,822.4
Denmark,1993,Industry,110.0
Denmark,1993,Services,50.0
Denmark,1994,Domestic/Public Use,793.9
Denmark,1994,Industry,103.1
Denmark,1994,Services,46.2
Denmark,1995,Domestic/Public Use,470.0
Denmark,1996,Domestic/Public Use,509.0
Denmark,1997,Domestic/Public Use,464.7
Denmark,1998,Domestic/Public Use,440.1
Denmark,1999,Domestic/Public Use,422.0
Denmark,2000,Domestic/Public Use,419.9
Denmark,2001,Domestic/Public Use,661.8
Denmark,2002,Agriculture,40.7
Denmark,2002,Domestic/Public Use,619.2
Denmark,2002,Energy Production,3.9
Denmark,2002,Industry,47.8
Denmark,2002,Services,51.9
Denmark,2003,Agriculture,39.4
Denmark,2003,Domestic/Public Use,608.2
Denmark,2003,Energy Production,4.2
Denmark,2003,Industry,45.5
Denmark,2003,Services,47.9
Denmark,2004,Agriculture,38.6
Denmark,2004,Domestic/Public Use,613.2
Denmark,2004,Energy Production,4.0
Denmark,2004,Industry,42.4
Denmark,2004,Services,47.8
Denmark,2005,Agriculture,51.0
Denmark,2005,Domestic/Public Use,420.5
Denmark,2005,Energy Production,4.0
Denmark,2006,Agriculture,49.0
Denmark,2006,Domestic/Public Use,404.1
Denmark,2006,Energy Production,4.0
Denmark,2007,Domestic/Public Use,409.7
Denmark,2008,Domestic/Public Use,406.7
Denmark,2009,Domestic/Public Use,385.6
Denmark,2010,Agriculture,46.6
Denmark,2010,Domestic/Public Use,601.37
Denmark,2010,Energy Production,2.76
Denmark,2010,Industry,116.66
Denmark,2010,Services,43.09
Denmark,2011,Agriculture,43.46
Denmark,2011,Domestic/Public Use,595.58
Denmark,2011,Energy Production,2.38
Denmark,2011,Industry,108.9
Denmark,2011,Services,39.75
Denmark,2012,Agriculture,45.14
Denmark,2012,Domestic/Public Use,599.55
Denmark,2012,Energy Production,2.2
Denmark,2012,Industry,110.13
Denmark,2012,Services,39.51
Denmark,2013,Agriculture,42.65
Denmark,2013,Domestic/Public Use,603.76
Denmark,2013,Energy Production,1.82
Denmark,2013,Industry,112.38000000000001
Denmark,2013,Services,37.23
Denmark,2014,Agriculture,45.85
Denmark,2014,Domestic/Public Use,586.3
Denmark,2014,Energy Production,1.82
Denmark,2014,Industry,126.27999999999999
Denmark,2014,Services,38.41
Denmark,2015,Agriculture,49.35
Denmark,2015,Domestic/Public Use,562.28
Denmark,2015,Energy Production,1.99
Denmark,2015,Industry,128.55
Denmark,2015,Services,41.83
Denmark,2016,Agriculture,49.99
Denmark,2016,Domestic/Public Use,570.35
Denmark,2016,Energy Production,2.17
Denmark,2016,Industry,132.92
Denmark,2016,Services,45.04
Denmark,2017,Agriculture,44.09
Denmark,2017,Domestic/Public Use,583.38
Denmark,2017,Energy Production,1.81
Denmark,2017,Industry,120.72999999999999
Denmark,2017,Services,38.12
Denmark,2018,Agriculture,44.11
Denmark,2018,Domestic/Public Use,605.36
Denmark,2018,Energy Production,2.03
Denmark,2018,Industry,121.18
Denmark,2018,Services,38.31
Denmark,2019,Agriculture,45.69
Denmark,2019,Domestic/Public Use,592.6
Denmark,2019,Energy Production,1.8
Denmark,2019,Industry,112.62
Denmark,2019,Services,37.19
Denmark,2020,Agriculture,42.98
Denmark,2020,Domestic/Public Use,622.56
Denmark,2020,Energy Production,1.85
Denmark,2020,Industry,115.36
Denmark,2020,Services,36.66
Denmark,2021,Agriculture,43.1
Denmark,2021,Domestic/Public Use,606.64
Denmark,2021,Energy Production,2.17
Denmark,2021,Industry,110.62
Denmark,2021,Services,31.45
Denmark,2022,Agriculture,44.88
Denmark,2022,Domestic/Public Use,589.17
Denmark,2022,Energy Production,2.21
Denmark,2022,Industry,115.53999999999999
Denmark,2022,Services,32.96
Estonia,2000,Domestic/Public Use,71.5
Estonia,2001,Domestic/Public Use,66.1
Estonia,2002,Domestic/Public Use,71.1
Estonia,2003,Domestic/Public Use,69.7
Estonia,2004,Domestic/Public Use,66.1
Estonia,2010,Agriculture,0.2
Estonia,2010,Domestic/Public Use,46.8
Estonia,2010,Energy Production,0.2
Estonia,2010,Industry,14.2
Estonia,2011,Agriculture,0.2
Estonia,2011,Domestic/Public Use,47.8
Estonia,2011,Energy Production,0.2
Estonia,2011,Industry,14.5
Estonia,2012,Agriculture,0.3
Estonia,2012,Domestic/Public Use,49.8
Estonia,2012,Energy Production,0.2
Estonia,2012,Industry,15.7
Estonia,2013,Agriculture,0.3
Estonia,2013,Domestic/Public Use,51.6
Estonia,2013,Energy Production,0.1
Estonia,2013,Industry,7.9
Estonia,2014,Agriculture,0.21
Estonia,2014,Domestic/Public Use,44.49
Estonia,2014,Energy Production,0.011
Estonia,2014,Industry,6.36
Estonia,2015,Agriculture,0.18
Estonia,2015,Domestic/Public Use,50.52
Estonia,2015,Energy Production,0.12
Estonia,2015,Industry,7.91
Estonia,2016,Agriculture,0.16
Estonia,2016,Domestic/Public Use,50.18
Estonia,2016,Energy Production,0.09
Estonia,2016,Industry,8.06
Estonia,2017,Agriculture,0.17
Estonia,2017,Domestic/Public Use,49.29
Estonia,2017,Energy Production,0.01
Estonia,2017,Industry,8.25
Estonia,2018,Agriculture,0.16
Estonia,2018,Domestic/Public Use,48.63
Estonia,2018,Energy Production,0.06
Estonia,2018,Industry,8.33
Estonia,2019,Agriculture,0.120485
Estonia,2019,Domestic/Public Use,52.74774
Estonia,2019,Energy Production,0.061987
Estonia,2019,Industry,9.744243
Estonia,2020,Agriculture,0.127726
Estonia,2020,Domestic/Public Use,51.22781
Estonia,2020,Energy Production,0.063329
Estonia,2020,Industry,7.421658
Estonia,2021,Agriculture,0.111486
Estonia,2021,Domestic/Public Use,62.51642
Estonia,2021,Energy Production,0.007208
Estonia,2021,Industry,7.284851
Estonia,2022,Agriculture,0.111504
Estonia,2022,Domestic/Public Use,62.92818
Estonia,2022,Energy Production,0.009907
Estonia,2022,Industry,7.694294
Finland,1970,Domestic/Public Use,586.0
Finland,1975,Domestic/Public Use,762.0
Finland,1980,Domestic/Public Use,778.0
Finland,1985,Domestic/Public Use,818.0
Finland,1989,Domestic/Public Use,861.0
Finland,1989,Energy Production,0.0
Finland,1989,Industry,17.6
Finland,1990,Domestic/Public Use,848.0
Finland,1991,Domestic/Public Use,832.0
Finland,1992,Domestic/Public Use,839.0
Finland,1993,Domestic/Public Use,838.0
Finland,1994,Domestic/Public Use,838.0
Finland,1995,Domestic/Public Use,824.0
Finland,1996,Domestic/Public Use,838.0
Finland,1997,Domestic/Public Use,832.0
Finland,1998,Domestic/Public Use,808.0
Finland,1999,Domestic/Public Use,808.0
Finland,2013,Industry,15.4
Finland,2014,Industry,14.4
Finland,2015,Industry,13.2
Finland,2016,Industry,14.600000000000001
Finland,2017,Industry,12.1
Finland,2018,Industry,13.020000000000001
Finland,2019,Industry,12.764
Finland,2020,Industry,11.849
Finland,2021,Industry,12.58
Finland,2022,Industry,12.544
