STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,SOURCE,Water source,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,OBS_STATUS_2,Observation status 2,OBS_STATUS_3,Observation status 3,OBS_STATUS_4,Observation status 4,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ENV.EPI:DSD_WATER_ABSTRACT@DF_WATER_ABSTRACT(1.0),Freshwater - abstractions,I,BLR,Belarus,A,Annual,AGRICULTURE,"Agriculture, forestry, fishing",M3,Cubic metres,TOTAL_ABSTRACT,Total freshwater,2020,,367.3,,A,Normal value,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_ABSTRACT@DF_WATER_ABSTRACT(1.0),Freshwater - abstractions,I,BLR,Belarus,A,Annual,AGRICULTURE,"Agriculture, forestry, fishing",M3,Cubic metres,TOTAL_ABSTRACT,Total freshwater,2021,,395.6,,A,Normal value,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_ABSTRACT@DF_WATER_ABSTRACT(1.0),Freshwater - abstractions,I,CAN,Canada,A,Annual,PUBLIC,Public water supply,M3,Cubic metres,TOTAL_ABSTRACT,Total freshwater,1972,,3157,,E,Estimated value,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_ABSTRACT@DF_WATER_ABSTRACT(1.0),Freshwater - abstractions,I,CAN,Canada,A,Annual,PUBLIC,Public water supply,M3,Cubic metres,TOTAL_ABSTRACT,Total freshwater,1980,,4263,,A,Normal value,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_ABSTRACT@DF_WATER_ABSTRACT(1.0),Freshwater - abstractions,I,CAN,Canada,A,Annual,PUBLIC,Public water supply,M3,Cubic metres,TOTAL_ABSTRACT,Total freshwater,1981,,4263,,E,Estimated value,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_ABSTRACT@DF_WATER_ABSTRACT(1.0),Freshwater - abstractions,I,CAN,Canada,A,Annual,PUBLIC,Public water supply,M3,Cubic metres,TOTAL_ABSTRACT,Total freshwater,1985,,4711,,A,Normal value,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_ABSTRACT@DF_WATER_ABSTRACT(1.0),Freshwater - abstractions,I,CAN,Canada,A,Annual,PUBLIC,Public water supply,M3,Cubic metres,TOTAL_ABSTRACT,Total freshwater,1986,,4711,,E,Estimated value,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_ABSTRACT@DF_WATER_ABSTRACT(1.0),Freshwater - abstractions,I,CAN,Canada,A,Annual,PUBLIC,Public water supply,M3,Cubic metres,TOTAL_ABSTRACT,Total freshwater,1989,,4978,,E,Estimated value,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_ABSTRACT@DF_WATER_ABSTRACT(1.0),Freshwater - abstractions,I,CAN,Canada,A,Annual,PUBLIC,Public water supply,M3,Cubic metres,TOTAL_ABSTRACT,Total freshwater,1990,,5102,,A,Normal value,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_ABSTRACT@DF_WATER_ABSTRACT(1.0),Freshwater - abstractions,I,CAN,Canada,A,Annual,PUBLIC,Public water supply,M3,Cubic metres,TOTAL_ABSTRACT,Total freshwater,1991,,5102,,E,Estimated value,,,,,,,6,Millions,1,One
