Country,Year,Measure_group,OBS_VALUE_abstraction
Belarus,2019,Domestic & Public Use,493.6
Belarus,2019,Industry & Manufacturing,243.39999999999998
Belarus,2020,Agriculture & Fisheries,367.3
Belarus,2020,Domestic & Public Use,452.9
Belarus,2020,Industry & Manufacturing,250.1
Belarus,2021,Agriculture & Fisheries,395.6
Belarus,2021,Domestic & Public Use,533.2
Belarus,2021,Industry & Manufacturing,252.60000000000002
Belgium,1990,Agriculture & Fisheries,0.0
Belgium,1990,Domestic & Public Use,1370.1
Belgium,1993,Domestic & Public Use,1446.9
Belgium,1994,Agriculture & Fisheries,20.0
Belgium,1994,Domestic & Public Use,1437.0
Belgium,1994,Industry & Manufacturing,2180.0
Belgium,1994,Services,40.0
Belgium,1995,Agriculture & Fisheries,25.0
Belgium,1995,Domestic & Public Use,1453.2
Belgium,1995,Industry & Manufacturing,3642.0
Belgium,1995,Services,12.2
Belgium,1996,Agriculture & Fisheries,29.5
Belgium,1996,Domestic & Public Use,1437.6999999999998
Belgium,1996,Industry & Manufacturing,3114.3
Belgium,1996,Services,672.0
Belgium,1997,Agriculture & Fisheries,31.6
Belgium,1997,Domestic & Public Use,1518.9
Belgium,1997,Industry & Manufacturing,2934.0
Belgium,1997,Services,754.0
Belgium,1998,Agriculture & Fisheries,35.6
Belgium,1998,Domestic & Public Use,1485.3000000000002
Belgium,1998,Industry & Manufacturing,3028.6000000000004
Belgium,1998,Services,540.2
Belgium,1999,Agriculture & Fisheries,61.7
Belgium,1999,Domestic & Public Use,1490.8000000000002
Belgium,1999,Industry & Manufacturing,2868.8
Belgium,1999,Services,522.0
Belgium,2000,Agriculture & Fisheries,70.524687
Belgium,2000,Domestic & Public Use,1462.220621
Belgium,2000,Industry & Manufacturing,3122.680372
Belgium,2000,Services,65.46119999999999
Belgium,2001,Agriculture & Fisheries,72.479422
Belgium,2001,Domestic & Public Use,1448.979922
Belgium,2001,Industry & Manufacturing,2867.1063700000004
Belgium,2001,Services,97.4776
Belgium,2002,Agriculture & Fisheries,71.116416
Belgium,2002,Domestic & Public Use,1458.957306
Belgium,2002,Industry & Manufacturing,2808.3472549999997
Belgium,2002,Services,105.97801
Belgium,2003,Agriculture & Fisheries,74.459315
Belgium,2003,Domestic & Public Use,1478.078545
Belgium,2003,Industry & Manufacturing,2862.8799870000003
Belgium,2003,Services,87.13902999999999
Belgium,2004,Agriculture & Fisheries,68.439893
Belgium,2004,Domestic & Public Use,1454.116118
Belgium,2004,Industry & Manufacturing,2772.4552089999997
Belgium,2004,Services,85.20174
Belgium,2005,Agriculture & Fisheries,66.71669299999999
Belgium,2005,Domestic & Public Use,1447.6988890000002
Belgium,2005,Industry & Manufacturing,2569.5091110000003
Belgium,2005,Services,75.18364
Belgium,2006,Agriculture & Fisheries,69.32224
Belgium,2006,Domestic & Public Use,1448.882085
Belgium,2006,Industry & Manufacturing,2744.123193
Belgium,2006,Services,75.81805
Belgium,2007,Agriculture & Fisheries,76.01794799999999
Belgium,2007,Domestic & Public Use,1425.494819
Belgium,2007,Industry & Manufacturing,2593.085894
Belgium,2007,Services,69.87913
Belgium,2008,Agriculture & Fisheries,78.176837
Belgium,2008,Domestic & Public Use,1406.38128
Belgium,2008,Industry & Manufacturing,2514.952787
Belgium,2008,Services,60.36185
Belgium,2009,Agriculture & Fisheries,82.115666
Belgium,2009,Domestic & Public Use,1425.796323
Belgium,2009,Industry & Manufacturing,2264.296192
Belgium,2009,Services,58.79827
Belgium,2010,Agriculture & Fisheries,82.53953
Belgium,2010,Domestic & Public Use,1437.440259
Belgium,2010,Industry & Manufacturing,2408.9560389999997
Belgium,2010,Services,61.8017
Belgium,2011,Agriculture & Fisheries,81.297642
Belgium,2011,Domestic & Public Use,1477.577616
Belgium,2011,Industry & Manufacturing,2365.357385
Belgium,2011,Services,67.38031
Belgium,2012,Agriculture & Fisheries,75.371772
Belgium,2012,Domestic & Public Use,1456.480779
Belgium,2012,Industry & Manufacturing,2325.771685
Belgium,2012,Services,86.60218
Belgium,2013,Agriculture & Fisheries,80.329386
Belgium,2013,Domestic & Public Use,1474.111395
Belgium,2013,Industry & Manufacturing,2129.334245
Belgium,2013,Services,151.61527999999998
Belgium,2014,Agriculture & Fisheries,82.901989
Belgium,2014,Domestic & Public Use,1448.0213280000003
Belgium,2014,Industry & Manufacturing,2148.754986
Belgium,2014,Services,234.02134999999998
Belgium,2015,Agriculture & Fisheries,92.945934
Belgium,2015,Domestic & Public Use,1485.576799
Belgium,2015,Industry & Manufacturing,1985.675811
Belgium,2015,Services,201.99559
Belgium,2016,Agriculture & Fisheries,82.289267
Belgium,2016,Domestic & Public Use,1462.5957090000002
Belgium,2016,Industry & Manufacturing,1993.853434
Belgium,2016,Services,175.764183
Belgium,2017,Agriculture & Fisheries,91.85804900000001
Belgium,2017,Domestic & Public Use,1479.441051
Belgium,2017,Industry & Manufacturing,2162.3627500000002
Belgium,2017,Services,162.39639
Belgium,2018,Agriculture & Fisheries,109.262572
Belgium,2018,Domestic & Public Use,1500.675025
Belgium,2018,Industry & Manufacturing,2130.136872
Belgium,2018,Services,165.24194
Belgium,2019,Agriculture & Fisheries,102.789874
Belgium,2019,Domestic & Public Use,1493.004394
Belgium,2019,Industry & Manufacturing,2051.389184
