STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,SOURCE,Source of water,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,CZE,Czechia,A,Annual,PUB_SER,Services,M3,Cubic metres,PUBLIC,Public water supply,2010,,119.9,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,CZE,Czechia,A,Annual,PUB_SER,Services,M3,Cubic metres,PUBLIC,Public water supply,2011,,115.7,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,CZE,Czechia,A,Annual,PUB_SER,Services,M3,Cubic metres,PUBLIC,Public water supply,2012,,115.2,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,CZE,Czechia,A,Annual,PUB_SER,Services,M3,Cubic metres,PUBLIC,Public water supply,2013,,110.1,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,CZE,Czechia,A,Annual,PUB_SER,Services,M3,Cubic metres,PUBLIC,Public water supply,2014,,104.7,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,CZE,Czechia,A,Annual,PUB_SER,Services,M3,Cubic metres,PUBLIC,Public water supply,2015,,108.4,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,CZE,Czechia,A,Annual,PUB_SER,Services,M3,Cubic metres,PUBLIC,Public water supply,2016,,107.3,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,CZE,Czechia,A,Annual,PUB_SER,Services,M3,Cubic metres,PUBLIC,Public water supply,2017,,108,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,CZE,Czechia,A,Annual,PUB_SER,Services,M3,Cubic metres,PUBLIC,Public water supply,2018,,111.8,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,CZE,Czechia,A,Annual,PUB_SER,Services,M3,Cubic metres,PUBLIC,Public water supply,2019,,109,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,CZE,Czechia,A,Annual,PUB_SER,Services,M3,Cubic metres,PUBLIC,Public water supply,2020,,96.7,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,CZE,Czechia,A,Annual,PUB_SER,Services,M3,Cubic metres,PUBLIC,Public water supply,2021,,92.4,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,CZE,Czechia,A,Annual,PUB_SER,Services,M3,Cubic metres,PUBLIC,Public water supply,2022,,101.3,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WATER_USE@DF_WATER_USE(1.0),Freshwater - use,I,DEU,Germany,A,Annual,PUB_MANU,Total manufacturing,M3,Cubic metres,PUBLIC,Public water supply,1991,,631,,A,Normal value,6,Millions,1,One
